Customer ID,Surname,Geography,Gender,Age,Tenure,Credit Score,Balance,Number of Products,Has Credit Card,Is Active Member,Estimated Salary,Actual Churn,Churn Probability Percent,Risk Level,Predicted Churn,Recommended Retention Action
15692416,Aikenhead,Spain,Female,52,8,358,143542.36,3,1,0,141959.11,1,99.2,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15640846,Chibueze,Germany,Female,58,3,546,106458.31,4,1,0,128881.87,1,99.0,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15653776,Salier,Germany,Female,57,1,720,162082.31,4,0,0,27145.73,1,98.94,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15703793,Konovalova,Germany,Male,58,2,738,133745.44,4,1,0,28373.86,1,98.89,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15806808,Hope,Germany,Female,57,8,834,112281.6,3,1,0,140225.14,1,98.85,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15783019,Price,France,Female,62,9,794,123681.32,3,1,0,173586.63,1,98.72,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15757408,Lo,Spain,Male,38,3,655,250898.09,3,0,1,81054.0,1,98.69,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15570002,Burlingame,Germany,Female,55,8,625,118772.71,4,0,0,135853.62,1,98.69,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15734762,Ignatiev,France,Female,56,3,602,115895.22,3,1,0,4176.17,1,98.57,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15582129,Hsia,France,Male,62,1,517,43772.66,3,1,0,187756.24,1,98.5,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15647725,Napolitano,France,Female,61,5,675,62055.17,3,1,0,166305.16,1,98.44,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15597914,Evdokimov,Germany,Female,51,2,641,117306.69,4,1,1,26912.72,1,98.42,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15666548,Chung,Germany,Female,56,2,466,111920.13,3,1,0,197634.11,1,98.41,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15608338,Chiemenam,Spain,Female,55,9,757,117294.12,4,1,0,94187.47,1,98.4,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15752342,Bradley,Germany,Female,54,6,704,133656.91,3,1,0,145071.33,1,98.35,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15765173,Lin,France,Female,60,3,350,0.0,1,0,0,113796.15,1,98.33,High Risk,1,Priority re-engagement contact and needs-based second-product review
15641175,Munro,Germany,Male,63,3,701,120916.52,3,0,0,144727.45,1,98.33,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15787189,Tai,Germany,Male,60,8,824,134250.17,3,0,0,153046.16,1,98.24,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15710087,Nicholls,Germany,Female,54,3,705,125889.3,3,1,0,96013.5,1,98.19,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15662291,Davidson,France,Female,55,8,534,116973.26,3,1,0,122066.5,1,98.05,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15599329,Christopher,France,Female,49,7,697,195238.29,4,0,1,131083.56,1,98.01,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15589017,Chiu,Germany,Male,55,4,547,111362.76,3,1,0,16922.28,1,98.0,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15601594,Ifeanacho,France,Female,51,6,698,144237.91,4,1,0,157143.61,1,97.97,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15803538,Douglas,Spain,Male,56,1,695,0.0,3,1,0,187734.49,1,97.92,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15696989,Chukwueloka,Germany,Female,52,8,469,139493.25,3,0,0,150093.32,1,97.85,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15609824,Fedorov,France,Female,41,7,794,176845.41,3,1,0,166526.26,1,97.77,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
15779947,Thomas,Spain,Female,28,6,363,146098.43,3,1,0,100615.14,1,97.77,High Risk,1,"Review product suitability, fees, service quality, and product complexity"
