Year,Customer ID,Surname,Credit Score,Geography,Gender,Age,Tenure,Balance,Number of Products,Has Credit Card,Is Active Member,Estimated Salary,Actual Churn,Churn Probability,Churn Probability Percent,Predicted Churn,Risk Level,Recommended Retention Action
2025,15692416,Aikenhead,358,Spain,Female,52,8,143542.36,3,1,0,141959.11,1,0.9919916444163727,99.2,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15640846,Chibueze,546,Germany,Female,58,3,106458.31,4,1,0,128881.87,1,0.990038419219535,99.0,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15653776,Salier,720,Germany,Female,57,1,162082.31,4,0,0,27145.73,1,0.9894379699174093,98.94,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,0.9888580099206145,98.89,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15806808,Hope,834,Germany,Female,57,8,112281.6,3,1,0,140225.14,1,0.9885255360939273,98.85,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15783019,Price,794,France,Female,62,9,123681.32,3,1,0,173586.63,1,0.9871970689113816,98.72,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15757408,Lo,655,Spain,Male,38,3,250898.09,3,0,1,81054.0,1,0.9869115960616368,98.69,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15570002,Burlingame,625,Germany,Female,55,8,118772.71,4,0,0,135853.62,1,0.9868572861630777,98.69,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15734762,Ignatiev,602,France,Female,56,3,115895.22,3,1,0,4176.17,1,0.9856711800792088,98.57,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15582129,Hsia,517,France,Male,62,1,43772.66,3,1,0,187756.24,1,0.9849868264866752,98.5,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15647725,Napolitano,675,France,Female,61,5,62055.17,3,1,0,166305.16,1,0.9844128801158333,98.44,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15597914,Evdokimov,641,Germany,Female,51,2,117306.69,4,1,1,26912.72,1,0.9841859491544194,98.42,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15666548,Chung,466,Germany,Female,56,2,111920.13,3,1,0,197634.11,1,0.9841299263432309,98.41,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15608338,Chiemenam,757,Spain,Female,55,9,117294.12,4,1,0,94187.47,1,0.9840051420367902,98.4,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15752342,Bradley,704,Germany,Female,54,6,133656.91,3,1,0,145071.33,1,0.9834961910787624,98.35,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
