Retention Priority,Customer ID,Surname,Geography,Gender,Age,Tenure,Credit Score,Balance,Number of Products,Has Credit Card,Is Active Member,Estimated Salary,Churn Probability Percent,Risk Level,Predicted Churn,Actual Churn,Recommended Retention Action
1,15692416,Aikenhead,Spain,Female,52,8,358,143542.36,3,1,0,141959.11,99.2,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
2,15640846,Chibueze,Germany,Female,58,3,546,106458.31,4,1,0,128881.87,99.0,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
3,15653776,Salier,Germany,Female,57,1,720,162082.31,4,0,0,27145.73,98.94,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
4,15703793,Konovalova,Germany,Male,58,2,738,133745.44,4,1,0,28373.86,98.89,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
5,15806808,Hope,Germany,Female,57,8,834,112281.6,3,1,0,140225.14,98.85,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
6,15783019,Price,France,Female,62,9,794,123681.32,3,1,0,173586.63,98.72,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
7,15757408,Lo,Spain,Male,38,3,655,250898.09,3,0,1,81054.0,98.69,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
8,15570002,Burlingame,Germany,Female,55,8,625,118772.71,4,0,0,135853.62,98.69,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
9,15734762,Ignatiev,France,Female,56,3,602,115895.22,3,1,0,4176.17,98.57,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
10,15582129,Hsia,France,Male,62,1,517,43772.66,3,1,0,187756.24,98.5,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
11,15647725,Napolitano,France,Female,61,5,675,62055.17,3,1,0,166305.16,98.44,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
12,15597914,Evdokimov,Germany,Female,51,2,641,117306.69,4,1,1,26912.72,98.42,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
